ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.ack,tcp.flags.reset,tcp.len,frame.len,frame.time,frame.time_relative,frame.protocols,frame.number,_ws.col.info,tcp.analysis.flags,tcp.analysis.retransmission,udp.length,http.request.method,http.request.uri,http.authbasic,http.user_agent,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.stream,tcp.urgent_pointer,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,udp.port,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.1.1","224.0.0.1",,,,,,,,"62","Apr  1, 2024 00:36:56.165888407 Turquie","25.909399959","sll:ethertype:ip:igmp:igmp","11","Membership Query, general",,,,,,,,"36","True","False",,,,"1","2",,,,,,,,,,"0.307849776",,
,,,,,,,,,"80","Apr  1, 2024 00:37:04.971469340 Turquie","34.714980892","sll:ethertype:ipv6:icmpv6","12","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"8.805580933",,
,,,,,,,,,"62","Apr  1, 2024 00:37:14.639325673 Turquie","44.382837225","sll:ethertype:arp","13","Who has 192.168.1.3? Tell 192.168.1.1",,,,,,,,,,,,,,,,,,,,,,,,,"9.667856333",,
,,,,,,,,,"80","Apr  1, 2024 00:37:30.363765113 Turquie","60.107276665","sll:ethertype:ipv6:icmpv6","14","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"15.724439440",,
,,,,,,,,,"80","Apr  1, 2024 00:37:40.194006073 Turquie","69.937517625","sll:ethertype:ipv6:icmpv6","15","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"9.830240960",,
,,,,,,,,,"62","Apr  1, 2024 00:37:50.536807885 Turquie","80.280319437","sll:ethertype:arp","16","Who has 192.168.1.1? Tell 192.168.1.12",,,,,,,,,,,,,,,,,,,,,,,,,"10.342801812",,
,,,,,,,,,"80","Apr  1, 2024 00:37:50.741199026 Turquie","80.484710578","sll:ethertype:ipv6:icmpv6","17","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"0.204391141",,
,,,,,,,,,"80","Apr  1, 2024 00:38:00.468563521 Turquie","90.212075073","sll:ethertype:ipv6:icmpv6","18","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"9.727364495",,
,,,,,,,,,"62","Apr  1, 2024 00:38:06.433159720 Turquie","96.176671272","sll:ethertype:arp","19","Who has 192.168.1.1? Tell 192.168.1.3",,,,,,,,,,,,,,,,,,,,,,,,,"5.964596199",,
"0.0.0.0","255.255.255.255",,,,,,,,"366","Apr  1, 2024 00:38:06.446726556 Turquie","96.190238108","sll:ethertype:ip:udp:dhcp","20","DHCP Request  - Transaction ID 0xbf6bb930",,,"330",,,,,"350","False","False",,,,"64","17",,,,,,,,,"68","0.013566836",,
,,,,,,,,,"62","Apr  1, 2024 00:38:06.821768854 Turquie","96.565280406","sll:ethertype:arp","21","Who has 192.168.1.3? (ARP Probe)",,,,,,,,,,,,,,,,,,,,,,,,,"0.375042298",,
,,,,,,,,,"62","Apr  1, 2024 00:38:07.321749032 Turquie","97.065260584","sll:ethertype:arp","22","Who has 192.168.1.1? Tell 192.168.1.3",,,,,,,,,,,,,,,,,,,,,,,,,"0.499980178",,
,,,,,,,,,"62","Apr  1, 2024 00:38:07.822226784 Turquie","97.565738336","sll:ethertype:arp","23","Who has 192.168.1.3? (ARP Probe)",,,,,,,,,,,,,,,,,,,,,,,,,"0.500477752",,
,,,,,,,,,"88","Apr  1, 2024 00:38:07.822322308 Turquie","97.565833860","sll:ethertype:ipv6:icmpv6","24","Neighbor Advertisement fe80::1874:3c14:f35f:59fb (ovr) is at 1c:4d:70:79:43:84",,,,,,,,,,,,,,,,,,,,,,,,,"0.000095524",,
"0.0.0.0","255.255.255.255",,,,,,,,"366","Apr  1, 2024 00:38:08.306946675 Turquie","98.050458227","sll:ethertype:ip:udp:dhcp","25","DHCP Request  - Transaction ID 0xbf6bb930",,,"330",,,,,"350","False","False",,,,"64","17",,,,,,,,,"68","0.484624367",,
,,,,,,,,,"62","Apr  1, 2024 00:38:08.821775791 Turquie","98.565287343","sll:ethertype:arp","26","Who has 192.168.1.3? (ARP Probe)",,,,,,,,,,,,,,,,,,,,,,,,,"0.514829116",,
,,,,,,,,,"62","Apr  1, 2024 00:38:09.821772193 Turquie","99.565283745","sll:ethertype:arp","27","ARP Announcement for 192.168.1.3",,,,,,,,,,,,,,,,,,,,,,,,,"0.999996402",,
,,,,,,,,,"80","Apr  1, 2024 00:38:10.299155082 Turquie","100.042666634","sll:ethertype:ipv6:icmpv6","28","Router Advertisement from 34:e8:94:18:b3:a6",,,,,,,,,,,,,,,,,,,,,,,,,"0.477382889",,
,,,,,,,,,"62","Apr  1, 2024 00:38:15.894893369 Turquie","105.638404921","sll:ethertype:arp","29","Who has 192.168.1.3? Tell 192.168.1.1",,,,,,,,,,,,,,,,,,,,,,,,,"5.595738287",,
,,,,,,,,,"44","Apr  1, 2024 00:38:25.550058056 Turquie","115.293569608","sll:ethertype:arp","30","Who has 192.168.1.16? Tell 192.168.1.7",,,,,,,,,,,,,,,,,,,,,,,,,"9.655164687",,
,,,,,,,,,"62","Apr  1, 2024 00:38:25.550517375 Turquie","115.294028927","sll:ethertype:arp","31","192.168.1.16 is at 08:00:27:5d:d5:ac",,,,,,,,,,,,,,,,,,,,,,,,,"0.000459319",,
"192.168.1.7","192.168.1.16","33310","21","0x0002","True","False","False","0","76","Apr  1, 2024 00:38:25.550527440 Turquie","115.294038992","sll:ethertype:ip:tcp","32","33310 → 21 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=1729628708 TSecr=0 WS=128",,,,,,,,"60","True","False",,,,"64","6","32120","0","0","0","0",,,,,"0.000010065","0.000000000","0.000000000"
"192.168.1.16","192.168.1.7","21","33310","0x0012","True","True","False","0","76","Apr  1, 2024 00:38:25.550972115 Turquie","115.294483667","sll:ethertype:ip:tcp","33","21 → 33310 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=1323470 TSecr=1729628708 WS=128",,,,,,,,"60","True","False",,,,"64","6","5792","1","0","0","0","0.000444675",,,,"0.000444675","0.000444675","0.000444675"
"192.168.1.7","192.168.1.16","33310","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.551015203 Turquie","115.294526755","sll:ethertype:ip:tcp","34","33310 → 21 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=1729628709 TSecr=1323470",,,,,,,,"52","True","False",,,,"64","6","32128","1","1","0","0","0.000043088",,,,"0.000043088","0.000487763","0.000043088"
"192.168.1.7","192.168.1.16","33320","21","0x0002","True","False","False","0","76","Apr  1, 2024 00:38:25.551204803 Turquie","115.294716355","sll:ethertype:ip:tcp","35","33320 → 21 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=1729628709 TSecr=0 WS=128",,,,,,,,"60","True","False",,,,"64","6","32120","0","0","1","0",,,,,"0.000189600","0.000000000","0.000000000"
"192.168.1.16","192.168.1.7","21","33320","0x0012","True","True","False","0","76","Apr  1, 2024 00:38:25.551371112 Turquie","115.294882664","sll:ethertype:ip:tcp","36","21 → 33320 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=1323470 TSecr=1729628709 WS=128",,,,,,,,"60","True","False",,,,"64","6","5792","1","0","1","0","0.000166309",,,,"0.000166309","0.000166309","0.000166309"
"192.168.1.7","192.168.1.16","33320","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.551384534 Turquie","115.294896086","sll:ethertype:ip:tcp","37","33320 → 21 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=1729628709 TSecr=1323470",,,,,,,,"52","True","False",,,,"64","6","32128","1","1","1","0","0.000013422",,,,"0.000013422","0.000179731","0.000013422"
"192.168.1.7","192.168.1.16","33326","21","0x0002","True","False","False","0","76","Apr  1, 2024 00:38:25.551703057 Turquie","115.295214609","sll:ethertype:ip:tcp","38","33326 → 21 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=1729628710 TSecr=0 WS=128",,,,,,,,"60","True","False",,,,"64","6","32120","0","0","2","0",,,,,"0.000318523","0.000000000","0.000000000"
"192.168.1.16","192.168.1.7","21","33326","0x0012","True","True","False","0","76","Apr  1, 2024 00:38:25.551937843 Turquie","115.295449395","sll:ethertype:ip:tcp","39","21 → 33326 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=1323471 TSecr=1729628710 WS=128",,,,,,,,"60","True","False",,,,"64","6","5792","1","0","2","0","0.000234786",,,,"0.000234786","0.000234786","0.000234786"
"192.168.1.7","192.168.1.16","33326","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.551948630 Turquie","115.295460182","sll:ethertype:ip:tcp","40","33326 → 21 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=1729628710 TSecr=1323471",,,,,,,,"52","True","False",,,,"64","6","32128","1","1","2","0","0.000010787",,,,"0.000010787","0.000245573","0.000010787"
"192.168.1.7","192.168.1.16","33334","21","0x0002","True","False","False","0","76","Apr  1, 2024 00:38:25.552146776 Turquie","115.295658328","sll:ethertype:ip:tcp","41","33334 → 21 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=1729628710 TSecr=0 WS=128",,,,,,,,"60","True","False",,,,"64","6","32120","0","0","3","0",,,,,"0.000198146","0.000000000","0.000000000"
"192.168.1.16","192.168.1.7","21","33334","0x0012","True","True","False","0","76","Apr  1, 2024 00:38:25.552944222 Turquie","115.296455774","sll:ethertype:ip:tcp","42","21 → 33334 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=1323471 TSecr=1729628710 WS=128",,,,,,,,"60","True","False",,,,"64","6","5792","1","0","3","0","0.000797446",,,,"0.000797446","0.000797446","0.000797446"
"192.168.1.7","192.168.1.16","33334","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.552956510 Turquie","115.296468062","sll:ethertype:ip:tcp","43","33334 → 21 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=1729628711 TSecr=1323471",,,,,,,,"52","True","False",,,,"64","6","32128","1","1","3","0","0.000012288",,,,"0.000012288","0.000809734","0.000012288"
"192.168.1.16","192.168.1.7","21","33310","0x0018","False","True","False","20","88","Apr  1, 2024 00:38:25.553844100 Turquie","115.297355652","sll:ethertype:ip:tcp:ftp","44","Response: 220 (vsFTPd 2.3.4)",,,,,,,,"72","True","False",,,,"64","6","5888","1","1","0","0",,,,,"0.000887590","0.003316660","0.002828897"
"192.168.1.7","192.168.1.16","33310","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.553854534 Turquie","115.297366086","sll:ethertype:ip:tcp","45","33310 → 21 [ACK] Seq=1 Ack=21 Win=32128 Len=0 TSval=1729628712 TSecr=1323471",,,,,,,,"52","True","False",,,,"64","6","32128","21","1","0","0","0.000010434",,,,"0.000010434","0.003327094","0.000010434"
"192.168.1.16","192.168.1.7","21","33320","0x0018","False","True","False","20","88","Apr  1, 2024 00:38:25.557453260 Turquie","115.300964812","sll:ethertype:ip:tcp:ftp","46","Response: 220 (vsFTPd 2.3.4)",,,,,,,,"72","True","False",,,,"64","6","5888","1","1","1","0",,,,,"0.003598726","0.006248457","0.006068726"
"192.168.1.7","192.168.1.16","33320","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.557468737 Turquie","115.300980289","sll:ethertype:ip:tcp","47","33320 → 21 [ACK] Seq=1 Ack=21 Win=32128 Len=0 TSval=1729628715 TSecr=1323471",,,,,,,,"52","True","False",,,,"64","6","32128","21","1","1","0","0.000015477",,,,"0.000015477","0.006263934","0.000015477"
"192.168.1.16","192.168.1.7","21","33326","0x0018","False","True","False","20","88","Apr  1, 2024 00:38:25.559235694 Turquie","115.302747246","sll:ethertype:ip:tcp:ftp","48","Response: 220 (vsFTPd 2.3.4)",,,,,,,,"72","True","False",,,,"64","6","5888","1","1","2","0",,,,,"0.001766957","0.007532637","0.007287064"
"192.168.1.7","192.168.1.16","33326","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.559244121 Turquie","115.302755673","sll:ethertype:ip:tcp","49","33326 → 21 [ACK] Seq=1 Ack=21 Win=32128 Len=0 TSval=1729628717 TSecr=1323471",,,,,,,,"52","True","False",,,,"64","6","32128","21","1","2","0","0.000008427",,,,"0.000008427","0.007541064","0.000008427"
"192.168.1.16","192.168.1.7","21","33334","0x0018","False","True","False","20","88","Apr  1, 2024 00:38:25.559706342 Turquie","115.303217894","sll:ethertype:ip:tcp:ftp","50","Response: 220 (vsFTPd 2.3.4)",,,,,,,,"72","True","False",,,,"64","6","5888","1","1","3","0",,,,,"0.000462221","0.007559566","0.006749832"
"192.168.1.7","192.168.1.16","33334","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.559712849 Turquie","115.303224401","sll:ethertype:ip:tcp","51","33334 → 21 [ACK] Seq=1 Ack=21 Win=32128 Len=0 TSval=1729628718 TSecr=1323471",,,,,,,,"52","True","False",,,,"64","6","32128","21","1","3","0","0.000006507",,,,"0.000006507","0.007566073","0.000006507"
"192.168.1.7","192.168.1.16","33320","21","0x0018","False","True","False","15","83","Apr  1, 2024 00:38:25.902942913 Turquie","115.646454465","sll:ethertype:ip:tcp:ftp","52","Request: USER msfadmin",,,,,,,,"67","True","False",,,,"64","6","32128","21","1","1","0",,,,,"0.343230064","0.351738110","0.345474176"
"192.168.1.7","192.168.1.16","33310","21","0x0018","False","True","False","15","83","Apr  1, 2024 00:38:25.903112212 Turquie","115.646623764","sll:ethertype:ip:tcp:ftp","53","Request: USER msfadmin",,,,,,,,"67","True","False",,,,"64","6","32128","21","1","0","0",,,,,"0.000169299","0.352584772","0.349257678"
"192.168.1.16","192.168.1.7","21","33320","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.903224440 Turquie","115.646735992","sll:ethertype:ip:tcp","54","21 → 33320 [ACK] Seq=21 Ack=16 Win=5888 Len=0 TSval=1323506 TSecr=1729629061",,,,,,,,"52","True","False",,,,"64","6","5888","16","21","1","0","0.000281527",,,,"0.000112228","0.352019637","0.000281527"
"192.168.1.16","192.168.1.7","21","33310","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.903309117 Turquie","115.646820669","sll:ethertype:ip:tcp","55","21 → 33310 [ACK] Seq=21 Ack=16 Win=5888 Len=0 TSval=1323506 TSecr=1729629061",,,,,,,,"52","True","False",,,,"64","6","5888","16","21","0","0","0.000196905",,,,"0.000084677","0.352781677","0.000196905"
"192.168.1.16","192.168.1.7","21","33310","0x0018","False","True","False","34","102","Apr  1, 2024 00:38:25.903484642 Turquie","115.646996194","sll:ethertype:ip:tcp:ftp","56","Response: 331 Please specify the password.",,,,,,,,"86","True","False",,,,"64","6","5888","16","21","0","0",,,,,"0.000175525","0.352957202","0.000175525"
"192.168.1.7","192.168.1.16","33310","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.903497417 Turquie","115.647008969","sll:ethertype:ip:tcp","57","33310 → 21 [ACK] Seq=16 Ack=55 Win=32128 Len=0 TSval=1729629061 TSecr=1323506",,,,,,,,"52","True","False",,,,"64","6","32128","55","16","0","0","0.000012775",,,,"0.000012775","0.352969977","0.000012775"
"192.168.1.16","192.168.1.7","21","33320","0x0018","False","True","False","34","102","Apr  1, 2024 00:38:25.903696429 Turquie","115.647207981","sll:ethertype:ip:tcp:ftp","58","Response: 331 Please specify the password.",,,,,,,,"86","True","False",,,,"64","6","5888","16","21","1","0",,,,,"0.000199012","0.352491626","0.000471989"
"192.168.1.7","192.168.1.16","33320","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.903707364 Turquie","115.647218916","sll:ethertype:ip:tcp","59","33320 → 21 [ACK] Seq=16 Ack=55 Win=32128 Len=0 TSval=1729629062 TSecr=1323506",,,,,,,,"52","True","False",,,,"64","6","32128","55","16","1","0","0.000010935",,,,"0.000010935","0.352502561","0.000010935"
"192.168.1.7","192.168.1.16","33326","21","0x0018","False","True","False","15","83","Apr  1, 2024 00:38:25.903832271 Turquie","115.647343823","sll:ethertype:ip:tcp:ftp","60","Request: USER msfadmin",,,,,,,,"67","True","False",,,,"64","6","32128","21","1","2","0",,,,,"0.000124907","0.352129214","0.344588150"
"192.168.1.16","192.168.1.7","21","33326","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.904055873 Turquie","115.647567425","sll:ethertype:ip:tcp","61","21 → 33326 [ACK] Seq=21 Ack=16 Win=5888 Len=0 TSval=1323506 TSecr=1729629062",,,,,,,,"52","True","False",,,,"64","6","5888","16","21","2","0","0.000223602",,,,"0.000223602","0.352352816","0.000223602"
"192.168.1.16","192.168.1.7","21","33326","0x0018","False","True","False","34","102","Apr  1, 2024 00:38:25.904341756 Turquie","115.647853308","sll:ethertype:ip:tcp:ftp","62","Response: 331 Please specify the password.",,,,,,,,"86","True","False",,,,"64","6","5888","16","21","2","0",,,,,"0.000285883","0.352638699","0.000285883"
"192.168.1.7","192.168.1.16","33326","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.904356346 Turquie","115.647867898","sll:ethertype:ip:tcp","63","33326 → 21 [ACK] Seq=16 Ack=55 Win=32128 Len=0 TSval=1729629062 TSecr=1323506",,,,,,,,"52","True","False",,,,"64","6","32128","55","16","2","0","0.000014590",,,,"0.000014590","0.352653289","0.000014590"
"192.168.1.7","192.168.1.16","33334","21","0x0018","False","True","False","15","83","Apr  1, 2024 00:38:25.905044272 Turquie","115.648555824","sll:ethertype:ip:tcp:ftp","64","Request: USER msfadmin",,,,,,,,"67","True","False",,,,"64","6","32128","21","1","3","0",,,,,"0.000687926","0.352897496","0.345331423"
"192.168.1.16","192.168.1.7","21","33334","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.905287007 Turquie","115.648798559","sll:ethertype:ip:tcp","65","21 → 33334 [ACK] Seq=21 Ack=16 Win=5888 Len=0 TSval=1323506 TSecr=1729629063",,,,,,,,"52","True","False",,,,"64","6","5888","16","21","3","0","0.000242735",,,,"0.000242735","0.353140231","0.000242735"
"192.168.1.16","192.168.1.7","21","33334","0x0018","False","True","False","34","102","Apr  1, 2024 00:38:25.905438628 Turquie","115.648950180","sll:ethertype:ip:tcp:ftp","66","Response: 331 Please specify the password.",,,,,,,,"86","True","False",,,,"64","6","5888","16","21","3","0",,,,,"0.000151621","0.353291852","0.000151621"
"192.168.1.7","192.168.1.16","33334","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:25.905449655 Turquie","115.648961207","sll:ethertype:ip:tcp","67","33334 → 21 [ACK] Seq=16 Ack=55 Win=32128 Len=0 TSval=1729629063 TSecr=1323506",,,,,,,,"52","True","False",,,,"64","6","32128","55","16","3","0","0.000011027",,,,"0.000011027","0.353302879","0.000011027"
"192.168.1.7","192.168.1.16","33310","21","0x0018","False","True","False","13","81","Apr  1, 2024 00:38:26.004598743 Turquie","115.748110295","sll:ethertype:ip:tcp:ftp","68","Request: PASS 123456",,,,,,,,"65","True","False",,,,"64","6","32128","55","16","0","0",,,,,"0.099149088","0.454071303","0.101101326"
"192.168.1.7","192.168.1.16","33320","21","0x0018","False","True","False","12","80","Apr  1, 2024 00:38:26.004643816 Turquie","115.748155368","sll:ethertype:ip:tcp:ftp","69","Request: PASS 12345",,,,,,,,"64","True","False",,,,"64","6","32128","55","16","1","0",,,,,"0.000045073","0.453439013","0.100936452"
"192.168.1.7","192.168.1.16","33326","21","0x0018","False","True","False","16","84","Apr  1, 2024 00:38:26.005584954 Turquie","115.749096506","sll:ethertype:ip:tcp:ftp","70","Request: PASS 123456789",,,,,,,,"68","True","False",,,,"64","6","32128","55","16","2","0",,,,,"0.000941138","0.453881897","0.101228608"
"192.168.1.7","192.168.1.16","33334","21","0x0018","False","True","False","15","83","Apr  1, 2024 00:38:26.006590629 Turquie","115.750102181","sll:ethertype:ip:tcp:ftp","71","Request: PASS password",,,,,,,,"67","True","False",,,,"64","6","32128","55","16","3","0",,,,,"0.001005675","0.454443853","0.101140974"
"192.168.1.16","192.168.1.7","21","33310","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:26.041797256 Turquie","115.785308808","sll:ethertype:ip:tcp","72","21 → 33310 [ACK] Seq=55 Ack=29 Win=5888 Len=0 TSval=1323520 TSecr=1729629163",,,,,,,,"52","True","False",,,,"64","6","5888","29","55","0","0","0.037198513",,,,"0.035206627","0.491269816","0.037198513"
"192.168.1.16","192.168.1.7","21","33320","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:26.041797424 Turquie","115.785308976","sll:ethertype:ip:tcp","73","21 → 33320 [ACK] Seq=55 Ack=28 Win=5888 Len=0 TSval=1323520 TSecr=1729629163",,,,,,,,"52","True","False",,,,"64","6","5888","28","55","1","0","0.037153608",,,,"0.000000168","0.490592621","0.037153608"
"192.168.1.16","192.168.1.7","21","33326","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:26.041797478 Turquie","115.785309030","sll:ethertype:ip:tcp","74","21 → 33326 [ACK] Seq=55 Ack=32 Win=5888 Len=0 TSval=1323520 TSecr=1729629164",,,,,,,,"52","True","False",,,,"64","6","5888","32","55","2","0","0.036212524",,,,"0.000000054","0.490094421","0.036212524"
"192.168.1.16","192.168.1.7","21","33334","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:26.041797536 Turquie","115.785309088","sll:ethertype:ip:tcp","75","21 → 33334 [ACK] Seq=55 Ack=31 Win=5888 Len=0 TSval=1323520 TSecr=1729629165",,,,,,,,"52","True","False",,,,"64","6","5888","31","55","3","0","0.035206907",,,,"0.000000058","0.489650760","0.035206907"
"192.168.1.16","192.168.1.7","21","33310","0x0018","False","True","False","22","90","Apr  1, 2024 00:38:29.402321762 Turquie","119.145833314","sll:ethertype:ip:tcp:ftp","76","Response: 530 Login incorrect.",,,,,,,,"74","True","False",,,,"64","6","5888","29","55","0","0",,,,,"3.360524226","3.851794322","3.360524506"
"192.168.1.7","192.168.1.16","33310","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:29.402370226 Turquie","119.145881778","sll:ethertype:ip:tcp","77","33310 → 21 [ACK] Seq=29 Ack=77 Win=32128 Len=0 TSval=1729632560 TSecr=1323856",,,,,,,,"52","True","False",,,,"64","6","32128","77","29","0","0","0.000048464",,,,"0.000048464","3.851842786","0.000048464"
"192.168.1.16","192.168.1.7","21","33320","0x0018","False","True","False","22","90","Apr  1, 2024 00:38:29.402470202 Turquie","119.145981754","sll:ethertype:ip:tcp:ftp","78","Response: 530 Login incorrect.",,,,,,,,"74","True","False",,,,"64","6","5888","28","55","1","0",,,,,"0.000099976","3.851265399","3.360672778"
"192.168.1.7","192.168.1.16","33320","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:29.402480653 Turquie","119.145992205","sll:ethertype:ip:tcp","79","33320 → 21 [ACK] Seq=28 Ack=77 Win=32128 Len=0 TSval=1729632560 TSecr=1323856",,,,,,,,"52","True","False",,,,"64","6","32128","77","28","1","0","0.000010451",,,,"0.000010451","3.851275850","0.000010451"
"192.168.1.16","192.168.1.7","21","33326","0x0018","False","True","False","22","90","Apr  1, 2024 00:38:29.402616472 Turquie","119.146128024","sll:ethertype:ip:tcp:ftp","80","Response: 530 Login incorrect.",,,,,,,,"74","True","False",,,,"64","6","5888","32","55","2","0",,,,,"0.000135819","3.850913415","3.360818994"
"192.168.1.7","192.168.1.16","33326","21","0x0010","False","True","False","0","68","Apr  1, 2024 00:38:29.402626068 Turquie","119.146137620","sll:ethertype:ip:tcp","81","33326 → 21 [ACK] Seq=32 Ack=77 Win=32128 Len=0 TSval=1729632561 TSecr=1323856",,,,,,,,"52","True","False",,,,"64","6","32128","77","32","2","0","0.000009596",,,,"0.000009596","3.850923011","0.000009596"
